,species,count
0,Homo sapiens,4
1,Rattus rattus,1
2,Zea mays,1
3,Glycine max,2
4,Triticum aestivum,6
5,Carica papaya,1
6,Todarodes pacificus,1
7,Bos taurus,13
8,Onchocerca volvulus,1
9,Mus musculus domesticus,1
10,Gallus gallus,1
11,Chlamys islandica,1
12,Arabidopsis thaliana,2
13,Alopecurus myosuroides,8
14,Proteus mirabilis,3
15,Dimocarpus longan,3
16,Calotropis procera,1
17,Nicotiana benthamiana,1
18,Lolium rigidum,1
19,Suaeda maritima,1
20,Taiwanofungus camphoratus,1
21,Anopheles cracens,1
22,Platynota idaeusalis,1
23,Clonorchis sinensis,2
24,Alternaria brassicicola,1
25,Penicillium chrysogenum,1
26,Penicillium malachiteum,2
27,Penicillium odoratum,1
28,Penicillium verhagenii,1
29,Penicillium concentricum,1
30,Penicillium alfredii,1
31,Malassezia vespertilionis,1
32,Caenorhabditis elegans,4
33,Zostera marina,1
34,Aspergillus affinis,2
35,Fimicolochytrium jonesii,1
36,Durotheca rogersii,1
37,Hypoxylon trugodes,1
38,Enterobacter hormaechei subsp. xiangfangensis,1
39,Hypoxylon fragiforme,1
40,Daldinia loculata,1
41,Annulohypoxylon truncatum,1
42,Daldinia vernicosa,1
43,Neoantrodia serialis,1
44,Epithele typhae,2
45,Rhodofomes roseus,1
46,Purpureocillium takamizusanense,14
47,Daldinia caldariorum,1
48,Coccidioides immitis RS,2
49,Histoplasma capsulatum G186AR,2
50,Blastomyces dermatitidis ER-3,2
51,Trametes versicolor FP-101664 SS1,1
52,Lentinula edodes,1
53,Colletotrichum karsti,1
54,Colletotrichum truncatum,1
55,Alternaria rosae,1
56,Boeremia exigua,1
57,Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1,2
58,Aureobasidium melanogenum CBS 110374,1
59,Cucurbitaria berberidis CBS 394.84,2
60,Aspergillus fijiensis CBS 313.89,1
61,Laetiporus sulphureus 93-53,2
62,Aspergillus niger CBS 101883,1
63,Alternaria burnsii,2
64,Mycena indigotica,3
65,Lasiodiplodia theobromae,1
66,Aspergillus tubingensis,2
67,Trematosphaeria pertusa,2
68,Dothidotthia symphoricarpi CBS 119687,1
69,Arthroderma uncinatum,1
70,Lindgomyces ingoldianus,1
71,Mytilinidion resinicola,1
72,Macroventuria anomochaeta,1
73,Aaosphaeria arxii CBS 175.79,1
74,Didymella exigua CBS 183.55,1
75,Aspergillus nomiae NRRL 13137,1
76,Hyaloscypha bicolor E,1
77,Trichoderma reesei QM6a,2
78,Aspergillus heteromorphus CBS 117.55,2
79,Aspergillus eucalypticola CBS 122712,2
80,Aspergillus steynii IBT 23096,2
81,Verticillium dahliae VdLs.17,1
82,Blastomyces gilchristii SLH14081,1
83,Microsporum canis CBS 113480,1
84,Synchytrium microbalum,1
85,Paecilomyces variotii,1
86,Aspergillus mulundensis,1
87,Klebsiella aerogenes,1
88,Aspergillus sclerotioniger CBS 115572,2
89,Aspergillus vadensis CBS 113365,2
90,Aspergillus costaricaensis CBS 115574,2
91,Aspergillus japonicus CBS 114.51,1
92,Aspergillus aculeatinus CBS 121060,1
93,Aspergillus piperis CBS 112811,2
94,Aspergillus uvarum CBS 121591,1
95,Aspergillus brunneoviolaceus CBS 621.78,1
96,Aspergillus neoniger CBS 115656,1
97,Aspergillus saccharolyticus JOP 1030-1,1
98,Trichoderma citrinoviride,2
99,Trichoderma gamsii,1
100,Cryptococcus neoformans var. grubii H99,3
101,Candidatus Entotheonella serta,1
102,Neurospora crassa OR74A,2
103,Aspergillus bombycis,1
104,Pochonia chlamydosporia 170,1
105,Diplodia corticola,1
106,Cryptococcus wingfieldii CBS 7118,2
107,Purpureocillium lilacinum,1
108,Moesziomyces antarcticus,1
109,Kwoniella mangroviensis CBS 8507,1
110,Alternaria alternata,1
111,Paraphaeosphaeria sporulosa,1
112,Striga asiatica,1
113,Brassica juncea,1
114,Penicillium digitatum Pd1,1
115,Trichosporon asahii var. asahii CBS 2479,5
116,Grosmannia clavigera kw1407,1
117,Monoraphidium neglectum,1
118,Rasamsonia emersonii CBS 393.64,5
119,Capsaspora owczarzaki ATCC 30864,2
120,Coniophora puteana RWD-64-598 SS2,1
121,Punctularia strigosozonata HHB-11173 SS5,1
122,Aspergillus niger CBS 513.88,1
123,Phaseolus vulgaris,1
124,Echinococcus granulosus,2
125,Elaeis guineensis,1
